Alloys,Phase(s),ML-A,ML-B,ML-C,Ref
Fe30Co30Ni15Si8B17,AM,AM,,,93
Zr41Ti14Cu12.5Ni2Be22.5C8,AM,AM,,,93
Zr41Ti14Cu12.5Ni8Be22.5C2,AM,AM,,,93
Zr36Nb12Cu10Ni6Fe2Be20Y2Mg12,AM,AM,,,93
Zr36Ti14Cu12.5Ni5Be20.5Fe12,AM,AM,,,93
Zr41Ti14Cu12.5Ni2Be22.5Fe8,AM,AM,,,93
Zr41Ti14Cu12.5Ni5Be22.5Fe5,AM,AM,,,93
Zr41Ti14Cu12.5Ni8Be22.5Fe2,AM,AM,,,93
Zr36Nb12Cu10Ni8Be20Y2Mg12,AM,AM,,,93
Zr26Ti10Cu8Ni8Be20Y4Mg24,AM,AM,,,93
Zr40Ti15Cu11Ni11Be21.5Y1Mg0.5,AM,AM,,,93
(Zr0.41Ti0.14Cu0.125Ni0.1Be0.225)98Y2,AM,AM,,,93
Zr34Ti15Cu10Ni11Be28Y2,AM,AM,,,93
Zr38.5Ti16.5Ni9.75Cu15.25Be20,AM,AM,,,93
CaCuMgSrYbZn,AM,AM,,,93
Zn20Ca20Sr20Yb20Li11Mg9,AM,AM,,,93
SrCaYbMgZn,AM,AM,,,93
ZrHfTiCuCo,AM,AM,,,93
CuFeHfTiZr,AM,AM,,,93
Zr17Ta16Ti19Nb22Si26,AM,AM,,,93
AlCu0.5Li0.5MgSn0.2,A5+D02+2IM,MP,IM,,94
AlLiMgSnZn,A5+FCC+HCP+D02+IM,MP,IM,,94
AlLi0.5MgSn0.2Zn0.5,FCC+D02+2IM,MP,IM,,94
AlCu0.2Li0.5MgZn0.5,Mg32(AlZn)49,SP,IM,,94
Al0.25NbTaTiV,BCC,SP,SS,BCC,95
Al0.50NbTaTiV,BCC,SP,SS,BCC,95
AlNbTaTiV,BCC,SP,SS,BCC,95
MoNbTaTiV,BCC,SP,SS,BCC,96
NbTaTiV,BCC,SP,SS,BCC,97
NbTaTiVW,BCC,SP,SS,BCC,97
NbTaVW,BCC,SP,SS,BCC,97
MoNbTaV,BCC,SP,SS,BCC,98
CoCr0.4Fe8Mn5.4Ni5.2,FCC,SP,SS,FCC,99
AlCoCrCuFeNiSi,BCC+FCC,MP,SS,MSS,100
AlCoCuNi,BCC+FCC,MP,SS,MSS,100
AlCuNi,FCC+B2,MP,IM,,100
Al0.5CoCrCuNi,FCC,SP,SS,FCC,101
AlCoCrCuFeNiTiV,BCC+FCC,MP,SS,MSS,101
AlCoCrCu0.5Ni,BCC+FCC+B2,MP,IM,,101
Al0.3CoCrCuFeNi,FCC,SP,SS,FCC,102
Al1.3CoCrCuFeNi,FCC+B2,MP,IM,,102
Al1.5CoCrCuFeNi,FCC+B2,MP,IM,,102
Al1.8CoCrCuFeNi,FCC+B2,MP,IM,,102
Al2.0CoCrCuFeNi,FCC+B2,MP,IM,,102
Al2.3CoCrCuFeNi,FCC+B2,MP,IM,,102
Al2.5CoCrCuFeNi,FCC+B2,MP,IM,,102
Cr2MoNbTaVW,2BCC,MP,SS,BCC,103
Cr0.5MoNbTaVW,BCC,SP,SS,BCC,103
CrMoNbTaVW,BCC,SP,SS,BCC,103
Al1.5CoCrFeNiTi,BCC+B2,MP,IM,,104
Al2.0CoCrFeNiTi,BCC+B2,MP,IM,,104
Al0.5CoCrFeNiTi,BCC+B2+C14,MP,IM,,104
CoCrMoNbTi0.4,BCC+B2,MP,IM,,105
CoCrMoNb,BCC+B2+Laves,MP,IM,,105
CoCrMoNbTi,BCC+B2+Laves,MP,IM,,105
CoCrMoNbTi0.2,BCC+B2+Laves,MP,IM,,105
CoCrMoNbTi0.5,BCC+B2+Laves,MP,IM,,105
MoNbTiV0.25Zr,2BCC,MP,SS,BCC,106
MoNbTiV0.5Zr,2BCC,MP,SS,BCC,106
MoNbTiV0.75Zr,2BCC,MP,SS,BCC,106
MoNbTiV1.5Zr,2BCC,MP,SS,BCC,106
MoNbTiV2Zr,2BCC,MP,SS,BCC,106
MoNbTiV3Zr,2BCC,MP,SS,BCC,106
MoNbTiZr,2BCC,MP,SS,BCC,106
AlCoCrFeNb0.75Ni,BCC+Laves,MP,IM,,106
HfNbSi0.5TiVZr,BCC+Laves+IM,MP,IM,,107
HfNbSi0.5TiV,BCC+IM,MP,IM,,108
AlCoCrCu0.25FeNi,BCC,SP,SS,BCC,109
CoCuFeNiV,FCC,SP,SS,FCC,109
AlTiVYZr,IM,SP,IM,,109
BeCuNiTiVZr,IM,SP,IM,,109
CoCrCuFeNiTi2,IM,SP,IM,,109
AlCoCrCu0.25FeNiTi0.5,2BCC,MP,SS,BCC,110
AlCoCrCu0.5FeNiTi0.5,2BCC,MP,SS,BCC,110
Al20(CoCrCuFeMnNiTiV)80,BCC,SP,SS,BCC,111
Al11.1(CoCrCuFeMnNiTiV)88.9,BCC+FCC,MP,SS,MSS,111
Al40(CoCrCuFeMnNiTiV)60,BCC+D022+IM,MP,IM,,111
Al0.25CoCrCu0.75FeNi,FCC,SP,SS,FCC,112
Al0.75CoCrCu0.25FeNi,BCC+FCC,MP,SS,MSS,112
AlCoCrFeNiTi0.5,2BCC,MP,SS,BCC,113
AlCoCrFeNiTi1.5,2BCC+C14,MP,IM,,113
AlC1.0CoCrFeNi,BCC+Graphite+ε,MP,IM,,114
AlC1.5CoCrFeNi,BCC+Graphite+ε,MP,IM,,114
AlC0.1CoCrFeNi,BCC+ε,MP,IM,,114
AlC0.2CoCrFeNi,BCC+ε,MP,IM,,114
AlC0.3CoCrFeNi,BCC+ε,MP,IM,,114
AlC0.4CoCrFeNi,BCC+ε,MP,IM,,114
AlC0.5CoCrFeNi,BCC+ε,MP,IM,,114
AlCoCrCuFeMo0.2Ni,BCC+FCC,MP,SS,MSS,115
AlCoCrCuFeMo0.4Ni,BCC+α,MP,IM,,115
AlCoCrCuFeMo0.6Ni,BCC+α,MP,IM,,115
AlCoCrCuFeMo0.8Ni,BCC+α,MP,IM,,115
AlCoCrCuFeMoNi,BCC+α,MP,IM,,115
AlCoCrFeMo0.1Ni,BCC,SP,SS,BCC,116
AlCoCrFeMo0.2Ni,BCC+α,MP,IM,,116
AlCoCrFeMo0.3Ni,BCC+α,MP,IM,,116
AlCoCrFeMo0.4Ni,BCC+α,MP,IM,,116
AlCoCrFeNiSi0.4,2BCC,MP,SS,BCC,117
AlCoCrFeNiSi0.2,BCC,SP,SS,BCC,117
AlCoCrFeNiSi,2BCC+δ,MP,IM,,117
AlCoCrFeNiSi0.6,2BCC+δ,MP,IM,,117
AlCoCrFeNiSi0.8,2BCC+δ,MP,IM,,117
AlCo3.0CuFeNi,FCC,SP,SS,FCC,118
AlCo0.2CuFeNi,FCC+B2,MP,IM,,118
AlCo0.5CuFeNi,FCC+B2,MP,IM,,118
AlCo1.5CuFeNi,FCC+B2,MP,IM,,118
AlCo2.0CuFeNi,FCC+B2,MP,IM,,118
AlCoCuFeNiSi,BCC+FCC,MP,SS,MSS,119
AlCoCuFeNiZr,FCC+B2+D2b,MP,IM,,119
Al0.25CoFeNi,FCC,SP,SS,FCC,120
CoFeNi,FCC,SP,SS,FCC,120
CoFeNiSi0.25,FCC,SP,SS,FCC,120
Al0.5CoFeNi,FCC+B2,MP,IM,,120
Al0.75CoFeNi,FCC+B2,MP,IM,,120
CoFeNiSi0.50,FCC+IM(Ni3Si),MP,IM,,120
CoFeNiSi0.75,FCC+IM(Ni3Si),MP,IM,,120
AlCoFeNi,B2,SP,IM,,120
Ni45Fe13.33Co13.33Cr13.33Al7.5Ti7.5,FCC+L12,MP,IM,,121
Cr0.4CuFe0.4MnNi,2FCC,MP,SS,FCC,122
AlCoCrFeNi2,FCC+B2,MP,IM,,123
AlCoCrFeNi2.2,FCC+B2,MP,IM,,123
Al19Co20Fe20Ni41,B2+L12,MP,IM,,124
Co9Cr7Cu36Mn25Ni23,2FCC,MP,SS,FCC,125
Al12.5Ni21.875Co21.875Fe21.875Cr21.875,FCC+BCC+B2,MP,IM,,126
Al12.5Co17.5Cr17.5Fe35Ni17.5,FCC+BCC+B2,MP,IM,,126
Al13Co21.75Cr21.75Fe21.75Ni21.75,FCC+BCC+B2,MP,IM,,127
Al13Co21.69Cr21.69Fe21.69Ni21.69C0.25,FCC+BCC+B2,MP,IM,,127
Al16Co21Cr21Fe21Ni21,FCC+BCC+B2,MP,IM,,127
Al13Co21Cr21Fe21Ni21Ti3,FCC+BCC+B2,MP,IM,,127
Al13Co20.94Cr20.94Fe20.94Ni20.94Ti3C0.25,FCC+BCC+B2,MP,IM,,127
Fe23.5Co23.5Ni23.5Cr23.5Ti2Al4,FCC,SP,SS,FCC,128
CoCrFeMo0.1Ni,FCC,SP,SS,FCC,129
CoCrFeMo0.2Ni,FCC,SP,SS,FCC,129
,,,,,
